player_name,foot_enc,match_time,score_diff,is_shootout,home_away,pressure_index,zone_target,source
Victor Okoh Boniface,1,42,0,0,1,2.8,MR,real
Florian Wirtz,1,51,2,0,0,2.04,ML,real
Exequiel Alejandro Palacios,1,7,3,0,1,0.14,BR,real
Victor Okoh Boniface,1,15,-2,0,0,0.6,TC,real
Victor Okoh Boniface,1,62,0,0,1,4.13,BC,real
Exequiel Alejandro Palacios,1,97,0,0,1,6.47,ML,real
Victor Okoh Boniface,1,32,-1,0,1,2.13,BC,real
Patrik Schick,0,28,0,0,0,1.87,BL,real
Pierre-Emerick Aubameyang,1,81,3,0,1,1.62,MR,real
Johannes Geis,1,73,-3,0,0,1.46,BL,real
Thomas Müller,1,52,0,0,0,3.47,ML,real
Moritz Hartmann,1,112,1,0,1,7.47,BL,real
Robert Lewandowski,1,47,0,0,1,3.13,BR,real
Moritz Hartmann,1,31,0,0,1,2.07,BL,real
Andrej KramariāE1,1,72,3,0,0,1.44,MR,real
Sandro Wagner,1,66,0,0,1,4.4,BR,real
Klaas-Jan Huntelaar,1,89,-1,0,1,5.93,ML,real
Claudio Miguel Pizarro Bossio,1,69,-2,0,1,2.76,BL,real
Claudio Miguel Pizarro Bossio,1,26,2,0,0,1.04,BL,real
Klaas-Jan Huntelaar,1,87,-1,0,1,5.8,BR,real
Moritz Hartmann,1,31,0,0,1,2.07,MR,real
Andrej KramariāE1,1,55,-2,0,1,2.2,MR,real
Aaron Hunt,0,104,0,0,0,6.93,BC,real
Claudio Miguel Pizarro Bossio,1,28,2,0,0,1.12,BL,real
Alfreð Finnbogason,1,4,0,0,0,0.27,MR,real
Kevin Volland,0,66,3,0,1,1.32,MC,real
Daniel Didavi,0,52,-1,0,0,3.47,BL,real
Klaas-Jan Huntelaar,1,71,0,0,0,4.73,BR,real
Moritz Hartmann,1,54,1,0,1,3.6,BL,real
Hakan Çalhanoğlu,1,34,0,0,0,2.27,BR,real
Claudio Miguel Pizarro Bossio,1,21,-1,0,1,1.4,BR,real
Paul Verhaegh,1,108,1,0,1,7.2,BL,real
Yunus Mallı,1,68,0,0,0,4.53,ML,real
Sandro Wagner,1,61,0,0,0,4.07,BC,real
Lukas Hinterseer,1,54,3,0,1,1.08,BR,real
Moritz Hartmann,1,50,-1,0,0,3.33,MC,real
Filip KostiāE0,1,69,0,1,0,4.6,BL,real
Claudio Miguel Pizarro Bossio,1,88,-2,0,0,3.52,BL,real
Raffael Caetano de Araújo,1,54,0,0,0,3.6,MR,real
Javier Hernández Balcázar,1,3,-1,0,0,0.2,MR,real
Claudio Miguel Pizarro Bossio,1,64,0,0,1,4.27,BR,real
Moritz Hartmann,1,19,-1,0,0,1.27,BL,real
Anthony Modeste,1,20,0,0,0,1.33,BC,real
Robert Lewandowski,1,56,-1,0,0,3.73,MR,real
Thomas Müller,1,4,0,0,0,0.27,BR,real
Anthony Ujah,1,45,0,0,0,3,BR,real
Anthony Modeste,1,82,1,0,1,5.47,BL,real
Ricardo Iván Rodríguez Araya,0,64,0,0,1,4.27,BR,real
Moritz Hartmann,1,11,0,0,0,0.73,BR,real
Pierre-Michel Lasogga,1,89,1,0,1,5.93,ML,real
Paul Verhaegh,1,57,0,0,1,3.8,ML,real
Pierre-Michel Lasogga,1,49,-1,0,1,3.27,ML,real
Hiroshi Kiyotake,1,15,2,0,1,0.6,BL,real
Salomon Armand Magloire Kalou,1,20,0,0,0,1.33,ML,real
Hiroshi Kiyotake,1,38,-2,0,1,1.52,BR,real
Paul Verhaegh,1,34,0,0,1,2.27,MR,real
Granit Xhaka,0,72,-1,0,1,4.8,MC,real
Alexander Baumjohann,1,75,-1,0,0,5,ML,real
Lars Edi Stindl,1,90,1,0,1,6,BR,real
Thomas Müller,1,85,-1,0,1,5.67,BR,real
Mathew Leckie,1,35,1,0,1,2.33,BC,real
Alexander Meier,1,85,2,0,0,3.4,ML,real
André Hahn,1,74,0,0,0,4.93,BL,real
Marco Reus,1,11,1,0,1,0.73,BL,real
Hakan Çalhanoğlu,1,62,1,0,0,4.13,TC,real
Thomas Müller,1,65,3,0,0,1.3,BR,real
Kevin Volland,0,52,0,0,1,3.47,BL,real
Sandro Wagner,1,65,-1,0,1,4.33,TC,real
Daniel Ginczek,1,62,0,0,0,4.13,TC,real
Thomas Müller,1,47,0,0,0,3.13,TR,real
Kevin Volland,0,55,-1,0,0,3.67,BR,real
Paul Verhaegh,1,70,0,0,0,4.67,BL,real
Paul Verhaegh,1,39,-3,0,0,0.78,BL,real
Sandro Wagner,1,62,2,0,1,2.48,BR,real
Paul Verhaegh,1,90,-1,0,1,6,BL,real
Pierre-Emerick Aubameyang,1,67,-2,0,0,2.68,ML,real
Moritz Hartmann,1,89,-1,0,0,5.93,BL,real
Bas Dost,1,38,-1,0,1,2.53,MC,real
Klaas-Jan Huntelaar,1,75,-1,0,0,5,MR,real
Pierre-Emerick Aubameyang,1,21,-2,0,0,0.84,ML,real
Pierre-Emerick Aubameyang,1,25,-1,0,0,1.67,TC,real
Aron Jóhannsson,1,47,-1,0,1,3.13,BR,real
Felix Kroos,1,2,0,0,0,0.13,BL,real
Anthony Modeste,1,55,0,0,0,3.67,BL,real
Haris SeferoviāE0,0,77,0,1,1,5.13,BR,real
Thomas Müller,1,70,0,0,0,4.67,BC,real
Arjen Robben,0,35,-2,0,0,1.4,BL,real
Ricardo Iván Rodríguez Araya,0,59,-3,0,0,1.18,BR,real
Marco Reus,1,69,-1,0,1,4.6,ML,real
Eugen Polanski,1,86,1,0,1,5.73,BR,real
Anthony Modeste,1,63,3,0,1,1.26,MC,real
Daniel Didavi,0,44,2,0,0,1.76,BR,real
Salomon Armand Magloire Kalou,1,48,0,0,0,3.2,BC,real
Mevlüt Erdinç,1,59,0,0,1,3.93,BC,real
Teboho Mokoena,1,88,0,0,1,5.87,BL,real
Samuel Moutoussamy,0,80,1,0,0,5.33,TL,real
Nkosinathi Sibisi,1,83,1,0,1,5.53,MC,real
Omenuke Mfulu,1,87,1,0,1,5.8,MC,real
Thabang Amod Monare,1,51,1,0,1,3.4,BL,real
Cédric Bakambu,1,119,0,0,1,7.93,MC,real
Aubrey Maphosa Modiba,0,106,1,0,0,7.07,BR,real
Joris Kayembe Ditu,0,22,1,0,0,1.47,BC,real
Zakhele Lerato Lepasa,1,58,0,0,0,3.87,ML,real
Chancel Mbemba Mangulu,1,113,2,0,0,4.52,ML,real
Oswin Reagan Appollis,1,25,-2,0,1,1,BL,real
Yoane Wissa,1,23,3,0,1,0.46,MR,real
Siyanda Xulu,1,48,1,0,1,3.2,BL,real
