match_id,player_name,team_name,body_part,goalkeeper_name,goalkeeper_action,outcome,location_x,location_y,end_y,end_z,is_goal
3895302,Victor Okoh Boniface,Bayer Leverkusen,Right Foot,Michael Zetterer,Penalty Conceded,Goal,108.0,40.0,42.9,1.0,1
3895292,Florian Wirtz,Bayer Leverkusen,Right Foot,Frederik Rønnow,Penalty Conceded,Goal,108.0,40.0,37.5,1.6,1
3895333,Exequiel Alejandro Palacios,Bayer Leverkusen,Right Foot,Kevin Trapp,Penalty Conceded,Goal,108.2,40.1,43.5,0.2,1
3895333,Victor Okoh Boniface,Bayer Leverkusen,Right Foot,Kevin Trapp,Penalty Conceded,Goal,108.1,40.1,40.2,2.3,1
3895340,Victor Okoh Boniface,Bayer Leverkusen,Right Foot,Manuel Riemann,Penalty Conceded,Goal,108.0,40.0,39.6,0.4,1
3895074,Exequiel Alejandro Palacios,Bayer Leverkusen,Right Foot,Sven Ulreich,Penalty Conceded,Goal,108.1,40.1,36.9,1.4,1
3895086,Victor Okoh Boniface,Bayer Leverkusen,Right Foot,Kevin Müller,Penalty Conceded,Goal,108.1,40.1,40.7,0.8,1
3895182,Patrik Schick,Bayer Leverkusen,Left Foot,Manuel Riemann,Penalty Conceded,Goal,108.0,40.0,37.2,0.2,1
3890401,Pierre-Emerick Aubameyang,Borussia Dortmund,Right Foot,Lukáš Hrádecký,Shot Faced,Off T,108.0,40.0,44.8,1.1,0
3890385,Johannes Geis,Schalke 04,Right Foot,Ron-Robert Zieler,Penalty Conceded,Goal,108.0,40.0,36.2,0.5,1
3890287,Thomas Müller,Bayern Munich,Right Foot,Marwin Hitz,Penalty Conceded,Goal,108.0,40.0,37.4,1.4,1
3890563,Moritz Hartmann,Ingolstadt,Right Foot,David Yelldell,Penalty Conceded,Goal,108.0,40.0,36.9,0.5,1
3890548,Robert Lewandowski,Bayern Munich,Right Foot,Ramazan Özcan,Penalty Conceded,Goal,108.0,40.0,42.5,0.2,1
3890548,Moritz Hartmann,Ingolstadt,Right Foot,Manuel Neuer,Penalty Conceded,Goal,108.0,40.1,37.2,0.5,1
3890544,Andrej Kramarić,Hoffenheim,Right Foot,Ørjan Håskjold Nyland,Penalty Saved,Saved,108.0,40.0,42.7,1.4,0
3890539,Sandro Wagner,Darmstadt 98,Right Foot,Lukáš Hrádecký,Penalty Saved,Saved,108.0,40.0,42.6,0.2,0
3890534,Klaas-Jan Huntelaar,Schalke 04,Right Foot,Bernd Leno,Penalty Saved,Saved,108.1,40.1,37.9,1.5,0
3890529,Claudio Miguel Pizarro Bossio,Werder Bremen,Right Foot,Jaroslav Drobný,Penalty Saved,Saved,108.1,40.1,38.4,0.2,0
3890523,Claudio Miguel Pizarro Bossio,Werder Bremen,Right Foot,Diego Orlando Benaglio,Penalty Conceded,Goal,108.1,40.1,36.6,0.2,1
3890518,Klaas-Jan Huntelaar,Schalke 04,Right Foot,Roman Bürki,Penalty Conceded,Goal,108.0,40.0,43.1,0.2,1
3890508,Moritz Hartmann,Ingolstadt,Right Foot,Ralf Fährmann,Penalty Conceded,Goal,108.1,40.1,42.7,0.9,1
3890499,Andrej Kramarić,Hoffenheim,Right Foot,René Adler,Penalty Conceded,Goal,108.0,40.0,43.1,0.9,1
3890499,Aaron Hunt,Hamburger SV,Left Foot,Oliver Baumann,Penalty Conceded,Goal,108.1,40.1,39.8,0.0,1
3890494,Claudio Miguel Pizarro Bossio,Werder Bremen,Right Foot,Loris Karius,Penalty Conceded,Goal,108.1,40.1,36.7,0.3,1
3890487,Alfreð Finnbogason,Augsburg,Right Foot,Christian Mathenia,Penalty Conceded,Goal,108.0,40.0,42.8,1.6,1
3890486,Kevin Volland,Hoffenheim,Left Foot,Koen Casteels,Penalty Saved,Saved,108.0,40.0,41.9,0.9,0
3890485,Daniel Didavi,VfB Stuttgart,Left Foot,Ramazan Özcan,Penalty Conceded,Goal,108.1,40.1,37.1,0.2,1
3890480,Klaas-Jan Huntelaar,Schalke 04,Right Foot,Timo Horn,Penalty Conceded,Goal,108.1,40.1,42.2,0.5,1
3890479,Moritz Hartmann,Ingolstadt,Right Foot,Lukáš Hrádecký,Penalty Conceded,Goal,108.0,40.0,36.6,0.2,1
3890477,Hakan Çalhanoğlu,Bayer Leverkusen,Right Foot,Marwin Hitz,Penalty Conceded,Goal,108.0,40.0,42.8,0.3,1
3890472,Claudio Miguel Pizarro Bossio,Werder Bremen,Right Foot,Bernd Leno,Penalty Conceded,Goal,108.0,40.0,43.6,0.0,1
3890469,Paul Verhaegh,Augsburg,Right Foot,Oliver Baumann,Penalty Conceded,Goal,108.0,40.0,37.4,0.5,1
3890463,Yunus Mallı,FSV Mainz 05,Right Foot,Bernd Leno,Penalty Conceded,Goal,108.0,40.0,36.5,1.4,1
3890459,Sandro Wagner,Darmstadt 98,Right Foot,Felix Wiedwald,Penalty Conceded,Goal,108.0,40.0,38.8,0.2,1
3890449,Lukas Hinterseer,Ingolstadt,Right Foot,Felix Wiedwald,Penalty Conceded,Goal,108.0,40.0,43.6,0.8,1
3890436,Moritz Hartmann,Ingolstadt,Right Foot,Marwin Hitz,Penalty Conceded,Goal,108.1,40.1,40.6,1.7,1
3890433,Filip Kostić,VfB Stuttgart,Left Foot,Lukáš Hrádecký,Penalty Conceded,Goal,108.1,40.1,36.5,0.2,1
3890430,Claudio Miguel Pizarro Bossio,Werder Bremen,Right Foot,Yann Sommer,Penalty Conceded,Goal,108.0,40.0,36.5,0.2,1
3890430,Raffael Caetano de Araújo,Borussia Mönchengladbach,Right Foot,Felix Wiedwald,Penalty Conceded,Goal,108.1,40.1,43.2,1.5,1
3890427,Javier Hernández Balcázar,Bayer Leverkusen,Right Foot,Ron-Robert Zieler,Penalty Conceded,Goal,108.1,40.1,43.4,0.9,1
3890425,Claudio Miguel Pizarro Bossio,Werder Bremen,Right Foot,Rune Almenning Jarstein,Penalty Conceded,Goal,108.0,40.0,43.0,0.2,1
3890416,Moritz Hartmann,Ingolstadt,Right Foot,Loris Karius,Penalty Conceded,Goal,108.1,40.1,36.7,0.5,1
3890413,Anthony Modeste,FC Köln,Right Foot,Przemysław Tytoń,Penalty Conceded,Goal,108.2,40.1,40.1,0.8,1
3890412,Robert Lewandowski,Bayern Munich,Right Foot,René Adler,Penalty Conceded,Goal,108.0,40.0,43.2,1.5,1
3890407,Thomas Müller,Bayern Munich,Right Foot,Ron-Robert Zieler,Penalty Conceded,Goal,108.0,40.0,43.1,0.2,1
3890400,Anthony Ujah,Werder Bremen,Right Foot,Timo Horn,Penalty Saved,Saved,108.1,40.1,42.8,0.3,0
3890391,Anthony Modeste,FC Köln,Right Foot,Marwin Hitz,Penalty Saved,Saved,108.1,40.1,37.9,0.2,0
3890388,Ricardo Iván Rodríguez Araya,Wolfsburg,Left Foot,Roman Bürki,Penalty Conceded,Goal,108.0,40.0,43.6,0.5,1
3890374,Moritz Hartmann,Ingolstadt,Right Foot,Christian Mathenia,Penalty Conceded,Goal,108.0,40.0,42.7,0.2,1
3890367,Pierre-Michel Lasogga,Hamburger SV,Right Foot,Roman Bürki,Penalty Conceded,Goal,108.1,40.1,37.3,0.9,1
3890366,Paul Verhaegh,Augsburg,Right Foot,Felix Wiedwald,Penalty Conceded,Goal,108.1,40.1,36.3,1.5,1
3890360,Pierre-Michel Lasogga,Hamburger SV,Right Foot,Christian Mathenia,Penalty Conceded,Goal,108.1,40.1,37.6,1.4,1
3890358,Hiroshi Kiyotake,Hannover 96,Right Foot,Rune Almenning Jarstein,Penalty Conceded,Goal,108.0,40.0,37.0,0.2,1
3890358,Salomon Armand Magloire Kalou,Hertha Berlin,Right Foot,Ron-Robert Zieler,Penalty Conceded,Goal,108.1,40.1,38.3,1.7,1
3890356,Hiroshi Kiyotake,Hannover 96,Right Foot,René Adler,Penalty Conceded,Goal,108.1,40.1,43.4,0.6,1
3890354,Paul Verhaegh,Augsburg,Right Foot,Loris Karius,Penalty Conceded,Goal,108.0,40.0,43.3,0.9,1
3890351,Granit Xhaka,Borussia Mönchengladbach,Left Foot,Rune Almenning Jarstein,Penalty Conceded,Goal,108.1,40.0,38.9,1.5,1
3890351,Alexander Baumjohann,Hertha Berlin,Right Foot,Yann Sommer,Penalty Conceded,Goal,108.1,40.1,37.2,0.9,1
3890348,Lars Edi Stindl,Borussia Mönchengladbach,Right Foot,Ralf Fährmann,Penalty Saved,Saved,108.0,40.0,42.1,0.6,0
3890341,Thomas Müller,Bayern Munich,Right Foot,Timo Horn,Penalty Conceded,Goal,108.0,40.0,43.1,0.3,1
3890338,Mathew Leckie,Ingolstadt,Right Foot,Przemysław Tytoń,Penalty Saved,Saved,108.1,40.1,41.6,0.5,0
3890334,Alexander Meier,Eintracht Frankfurt,Right Foot,Yann Sommer,Penalty Conceded,Goal,108.1,40.1,37.1,1.2,1
3890334,André Hahn,Borussia Mönchengladbach,Right Foot,Lukáš Hrádecký,Penalty Conceded,Goal,108.1,40.1,37.2,0.6,1
3890331,Marco Reus,Borussia Dortmund,Right Foot,Loris Karius,Penalty Saved,Saved,108.1,40.1,37.6,0.8,0
3890330,Hakan Çalhanoğlu,Bayer Leverkusen,Right Foot,Marwin Hitz,Shot Faced,Off T,108.1,40.1,40.1,4.1,0
3890329,Thomas Müller,Bayern Munich,Right Foot,Roman Bürki,Penalty Conceded,Goal,108.1,40.1,42.5,0.2,1
3890327,Kevin Volland,Hoffenheim,Left Foot,Przemysław Tytoń,Penalty Conceded,Goal,108.0,40.0,38.2,0.0,1
3890322,Sandro Wagner,Darmstadt 98,Right Foot,Loris Karius,Shot Faced,Off T,108.1,40.1,40.5,4.5,0
